source_index,Molecule,Isomer,Metal,split
2915,C3H4O4,PropanedioicacidCH2COOH2,Nd+++,calibration_local
2916,C3H4O4,PropanedioicacidCH2COOH2,Nd+++,train
2917,C3H4O4,PropanedioicacidCH2COOH2,Nd+++,calibration_global
2918,C3H4O4,PropanedioicacidCH2COOH2,Nd+++,calibration_local
2919,C3H4O4,PropanedioicacidCH2COOH2,Nd+++,calibration_global
2934,C3H4O4,PropanedioicacidCH2COOH2,Nd+++,calibration_global
2944,C3H4O4,PropanedioicacidCH2COOH2,Nd+++,test
2961,C3H4O6,DihydroxypropanedioicacidHOOCCOH2COOH,Nd+++,train
2984,C3H6O2,PropanoicacidCH3CH2COOH,Nd+++,calibration_global
2985,C3H6O2,PropanoicacidCH3CH2COOH,Nd+++,train
2986,C3H6O2,PropanoicacidCH3CH2COOH,Nd+++,test
3004,C3H6O2S,2MercaptopropanoicacidCH3CHSHCOOH,Nd+++,train
3005,C3H6O2S,2MercaptopropanoicacidCH3CHSHCOOH,Nd+++,test
3043,C3H6O3_1,L2HydroxypropanoicacidCH3CHOHCOOH,Nd+++,train
3044,C3H6O3_1,L2HydroxypropanoicacidCH3CHOHCOOH,Nd+++,calibration_global
3045,C3H6O3_1,L2HydroxypropanoicacidCH3CHOHCOOH,Nd+++,test
3046,C3H6O3_1,L2HydroxypropanoicacidCH3CHOHCOOH,Nd+++,calibration_local
3047,C3H6O3_1,L2HydroxypropanoicacidCH3CHOHCOOH,Nd+++,calibration_local
3048,C3H6O3_1,L2HydroxypropanoicacidCH3CHOHCOOH,Nd+++,calibration_local
3049,C3H6O3_1,L2HydroxypropanoicacidCH3CHOHCOOH,Nd+++,calibration_global
3050,C3H6O3_1,L2HydroxypropanoicacidCH3CHOHCOOH,Nd+++,calibration_global
3082,C3H6O3_2,3HydroxypropanoicacidHOCH2CH2COOH,Nd+++,test
3088,C3H6O3_2,3HydroxypropanoicacidHOCH2CH2COOH,Nd+++,train
3098,C3H6O3_3,MethoxyethanoicacidCH3OCH2COOH,Nd+++,train
3112,C3H7NO2_1,2AminopropanoicacidH2NCHCH3COOH,Nd+++,test
3113,C3H7NO2_1,2AminopropanoicacidH2NCHCH3COOH,Nd+++,calibration_global
3114,C3H7NO2_1,2AminopropanoicacidH2NCHCH3COOH,Nd+++,calibration_local
3115,C3H7NO2_1,2AminopropanoicacidH2NCHCH3COOH,Nd+++,train
3116,C3H7NO2_1,2AminopropanoicacidH2NCHCH3COOH,Nd+++,calibration_local
3117,C3H7NO2_1,2AminopropanoicacidH2NCHCH3COOH,Nd+++,calibration_global
3145,C3H7NO2_1,2AminopropanoicacidH2NCHCH3COOH,Nd+++,calibration_global
3146,C3H7NO2_1,2AminopropanoicacidH2NCHCH3COOH,Nd+++,calibration_global
3147,C3H7NO2_1,2AminopropanoicacidH2NCHCH3COOH,Nd+++,calibration_local
3160,C3H7NO2_1,2AminopropanoicacidH2NCHCH3COOH,Nd+++,calibration_local
3164,C3H7NO2_2,3AminopropanoicacidH2NCH2CH2COOH,Nd+++,calibration_global
3165,C3H7NO2_2,3AminopropanoicacidH2NCH2CH2COOH,Nd+++,train
3171,C3H7NO2_2,3AminopropanoicacidH2NCH2CH2COOH,Nd+++,test
3174,C3H7NO2S,2Amino3mercaptopropanoicacidH2NCHCH2SHCOOH,Nd+++,train
3179,C3H7NO3,2Amino3hydroxypropanoicacidH2NCHCH2OHCOOH,Nd+++,test
3186,C3H7NO3,2Amino3hydroxypropanoicacidH2NCHCH2OHCOOH,Nd+++,train
3225,C4H2O4,34Dihydroxy3cyclobutene12dione,Nd+++,train
3226,C4H2O4,34Dihydroxy3cyclobutene12dione,Nd+++,test
3257,C4H4O4_1,cisButenedioicacidHOOCCHCHCOOH,Nd+++,train
3258,C4H4O4_1,cisButenedioicacidHOOCCHCHCOOH,Nd+++,test
3259,C4H4O4_1,cisButenedioicacidHOOCCHCHCOOH,Nd+++,calibration_local
3260,C4H4O4_1,cisButenedioicacidHOOCCHCHCOOH,Nd+++,calibration_global
3261,C4H4O4_1,cisButenedioicacidHOOCCHCHCOOH,Nd+++,calibration_local
3297,C4H4O4_2,transButenedioicacidHOOCCHCHCOOH,Nd+++,test
3298,C4H4O4_2,transButenedioicacidHOOCCHCHCOOH,Nd+++,train
3315,C4H4O5,2OxosuccinicacidOxalaceticacidHOOCCH2COCOOH,Nd+++,train
3321,C4H5NO5,OxalohydroxamicacidHOOCCOCH2CONHOH,Nd+++,train
3324,C4H5O4Cl,ChlorosuccinicacidHOOCCHClCH2COOH,Nd+++,train
3328,C4H6O2_1,But2enoicacidCH3CHCHCOOH,Nd+++,test
3329,C4H6O2_1,But2enoicacidCH3CHCHCOOH,Nd+++,train
3341,C4H6O2_2,2MethylpropenoicacidCH2CCH3COOH,Nd+++,train
3345,C4H6O4_1,MethylpropanedioicacidHOOCCHCH3COOH,Nd+++,test
3354,C4H6O4_1,MethylpropanedioicacidHOOCCHCH3COOH,Nd+++,train
3369,C4H6O4_2,14ButanedioicacidHOOCCH2CH2COOH,Nd+++,calibration_local
3370,C4H6O4_2,14ButanedioicacidHOOCCH2CH2COOH,Nd+++,test
3371,C4H6O4_2,14ButanedioicacidHOOCCH2CH2COOH,Nd+++,train
3372,C4H6O4_2,14ButanedioicacidHOOCCH2CH2COOH,Nd+++,calibration_global
3395,C4H6O4S_1,2Mercaptosuccinicacid2Sulfanyl14butanedioicacidHOOCCHSHCH2COOH,Nd+++,train
3396,C4H6O4S_1,2Mercaptosuccinicacid2Sulfanyl14butanedioicacidHOOCCHSHCH2COOH,Nd+++,test
3397,C4H6O4S_1,2Mercaptosuccinicacid2Sulfanyl14butanedioicacidHOOCCHSHCH2COOH,Nd+++,calibration_global
3427,C4H6O5_1,2Hydroxybutane14dioicacidHydroxysuccinicacidHOOCCH2CHOHCOOH,Nd+++,test
3428,C4H6O5_1,2Hydroxybutane14dioicacidHydroxysuccinicacidHOOCCH2CHOHCOOH,Nd+++,calibration_global
3429,C4H6O5_1,2Hydroxybutane14dioicacidHydroxysuccinicacidHOOCCH2CHOHCOOH,Nd+++,calibration_global
3430,C4H6O5_1,2Hydroxybutane14dioicacidHydroxysuccinicacidHOOCCH2CHOHCOOH,Nd+++,calibration_local
3449,C4H6O5_1,2Hydroxybutane14dioicacidHydroxysuccinicacidHOOCCH2CHOHCOOH,Nd+++,train
3450,C4H6O5_1,2Hydroxybutane14dioicacidHydroxysuccinicacidHOOCCH2CHOHCOOH,Nd+++,calibration_local
3451,C4H6O5_1,2Hydroxybutane14dioicacidHydroxysuccinicacidHOOCCH2CHOHCOOH,Nd+++,calibration_local
3452,C4H6O5_1,2Hydroxybutane14dioicacidHydroxysuccinicacidHOOCCH2CHOHCOOH,Nd+++,calibration_local
3470,C4H6O5_1,2Hydroxybutane14dioicacidHydroxysuccinicacidHOOCCH2CHOHCOOH,Nd+++,calibration_global
3490,C4H6O5_2,Dicarboxymethylether22OxydiethanoicacidHOOCCH2OCH2COOH,Nd+++,train
3504,C4H6O5_2,Dicarboxymethylether22OxydiethanoicacidHOOCCH2OCH2COOH,Nd+++,test
3509,C4H6O6_1,LTartaricacidL23DihydroxybutanedioicacidHOOCCHOHCHOHCOOH,Nd+++,train
3520,C4H6O6_1,LTartaricacidL23DihydroxybutanedioicacidHOOCCHOHCHOHCOOH,Nd+++,test
3531,C4H7NO3,NAcetylglycineCH3CONHCH2COOH,Nd+++,train
3551,C4H7NO4_1,IminodiethanoicacidHNCH2COOH2,Nd+++,test
3552,C4H7NO4_1,IminodiethanoicacidHNCH2COOH2,Nd+++,calibration_local
3560,C4H7NO4_1,IminodiethanoicacidHNCH2COOH2,Nd+++,train
3569,C4H7NO4_1,IminodiethanoicacidHNCH2COOH2,Nd+++,calibration_local
3570,C4H7NO4_1,IminodiethanoicacidHNCH2COOH2,Nd+++,calibration_global
3597,C4H7NO4_2,AminobutanedioicacidH2NCHCH2COOHCOOH,Nd+++,calibration_global
3598,C4H7NO4_2,AminobutanedioicacidH2NCHCH2COOHCOOH,Nd+++,calibration_global
3599,C4H7NO4_2,AminobutanedioicacidH2NCHCH2COOHCOOH,Nd+++,calibration_local
3600,C4H7NO4_2,AminobutanedioicacidH2NCHCH2COOHCOOH,Nd+++,test
3601,C4H7NO4_2,AminobutanedioicacidH2NCHCH2COOHCOOH,Nd+++,calibration_local
3602,C4H7NO4_2,AminobutanedioicacidH2NCHCH2COOHCOOH,Nd+++,train
3627,C4H7NO4_2,AminobutanedioicacidH2NCHCH2COOHCOOH,Nd+++,calibration_global
3628,C4H7NO4_2,AminobutanedioicacidH2NCHCH2COOHCOOH,Nd+++,calibration_global
3629,C4H7NO4_2,AminobutanedioicacidH2NCHCH2COOHCOOH,Nd+++,calibration_local
3645,C4H8N2O3_1,2Aminobutanedioicacid4amideH2NCHCH2CONH2COOH,Nd+++,test
3646,C4H8N2O3_1,2Aminobutanedioicacid4amideH2NCHCH2CONH2COOH,Nd+++,train
3660,C4H8N2O3_2,GlycylglycineH2NCH2CONHCH2COOH,Nd+++,train
3669,C4H8N2O4_1,HydrazineNNdiethanoicacidHOOCCH2NHNHCH2COOH,Nd+++,test
3670,C4H8N2O4_1,HydrazineNNdiethanoicacidHOOCCH2NHNHCH2COOH,Nd+++,train
3679,C4H8O2_1,nButanoicacidCH3CH2CH2COOH,Nd+++,train
3696,C4H8O2_2,2MethylpropanoicacidCH3CHCH3COOH,Nd+++,test
3697,C4H8O2_2,2MethylpropanoicacidCH3CHCH3COOH,Nd+++,train
3714,C4H8O2S_2,SEthylthioethanoicacidCH3CH2SCH2COOH,Nd+++,train
3753,C4H8O3,2Hydroxy2methylpropanoicacidCH32COHCOOH,Nd+++,train
3754,C4H8O3,2Hydroxy2methylpropanoicacidCH32COHCOOH,Nd+++,test
3755,C4H8O3,2Hydroxy2methylpropanoicacidCH32COHCOOH,Nd+++,calibration_global
3756,C4H8O3,2Hydroxy2methylpropanoicacidCH32COHCOOH,Nd+++,calibration_local
3757,C4H8O3,2Hydroxy2methylpropanoicacidCH32COHCOOH,Nd+++,calibration_local
3785,C4H8O4,23Dihydroxy2methylpropanoicacidHOCH2COHCH3COOH,Nd+++,train
3798,C4H8O5,23Dihydroxy2hydroxymethylpropanoicacidHOCH2CCH2OHOHCOOH,Nd+++,train
3810,C4H8O5,23Dihydroxy2hydroxymethylpropanoicacidHOCH2CCH2OHOHCOOH,Nd+++,test
3816,C4H9NO2,2AminobutanoicacidCH3CH2CHNH2COOH,Nd+++,train
3822,C4H9NO3,2Amino3hydroxybutanoicacidH2NCHCHOHCH3COOH,Nd+++,train
3829,C5H10N2O3_1,2Aminopentanedioicacid5amideH2NCHCH2CH2CONH2COOH,Nd+++,train
3837,C5H10N2O3_2,AlanylglycineH2NCHCH3CONHCH2COOH,Nd+++,train
3842,C5H10N2O3_3,GlycylDLalanineH2NCH2CONHCHCH3COOH,Nd+++,train
3847,C5H10N2O4,GlycylserineH2NCH2CONHCHCH2OHCOOH,Nd+++,train
3849,C5H10N2O5,3Hydroxy24diaminopentane15dioicacid,Nd+++,train
3863,C5H10O3_1,2Hydroxy2methylbutanoicacidMethylethylglycolicacidCH3CH2COHCH3COOH,Nd+++,train
3876,C5H10O3_3,2HydroxypentanoicacidCH3CH2CH2CHOHCOOH,Nd+++,train
3888,C5H10O4_1,23Dihydroxy2methylbutanoicacidCH3CHOHCOHCH3COOH,Nd+++,train
3900,C5H10O4_2,22BishydroxymethylpropanoicacidCH3CCH2OH2COOH,Nd+++,train
3910,C5H11NO2_1,2Amino3methylbutanoicacidH2NCHCHCH32COOH,Nd+++,test
3911,C5H11NO2_1,2Amino3methylbutanoicacidH2NCHCHCH32COOH,Nd+++,train
3912,C5H11NO2_1,2Amino3methylbutanoicacidH2NCHCHCH32COOH,Nd+++,calibration_global
3929,C5H11NO2_1,2Amino3methylbutanoicacidH2NCHCHCH32COOH,Nd+++,calibration_global
3939,C5H11NO2_1,2Amino3methylbutanoicacidH2NCHCHCH32COOH,Nd+++,calibration_local
3943,C5H11NO2_2,2AminopentanoicacidCH3CH2CH2CHNH2COOH,Nd+++,train
3948,C5H11NO2S_1,2Amino4methylthiobutanoicacidH2NCHCH2CH2SCH3COOH,Nd+++,train
3954,C5H11NO2S_1,2Amino4methylthiobutanoicacidH2NCHCH2CH2SCH3COOH,Nd+++,test
3957,C5H11NO2S_2,D2Amino3mercapto3methylbutanoicacidCH32CSHCHNH2COOH,Nd+++,train
3968,C5H11NO2S_2,D2Amino3mercapto3methylbutanoicacidCH32CSHCHNH2COOH,Nd+++,test
3973,C5H12NO4P,2Amino4methylhydroxyphosphorylbutanoicacid,Nd+++,train
3978,C5H12O5,XylitolHOCH2HCOHHOCHHCOHCH2OH,Nd+++,train
3987,C5H2O5,45Dihydroxycyclopent4ene123trione,Nd+++,train
3998,C5H4N2O2,Pyrazine2carboxylicacidcycloCHCHNCCOOHCHN,Nd+++,train
4002,C5H4O2S,Thiophene2carboxylicacidC4H3SCOOH,Nd+++,train
4007,C5H4O3_2,Furan2carboxylicacidC4H3OCOOH,Nd+++,train
4016,C5H4O3_3,Furan3carboxylicacidC4H3OCOOH,Nd+++,train
4027,C5H6O4_1,CitraconicacidCH3CCOOHCHCOOH,Nd+++,train
4028,C5H6O4_1,CitraconicacidCH3CCOOHCHCOOH,Nd+++,test
4042,C5H6O4_1,CitraconicacidCH3CCOOHCHCOOH,Nd+++,calibration_global
4051,C5H6O4_2,MethylenesuccinicacidHOOCCH2CCH2COOH,Nd+++,train
4052,C5H6O4_2,MethylenesuccinicacidHOOCCH2CCH2COOH,Nd+++,calibration_global
4053,C5H6O4_2,MethylenesuccinicacidHOOCCH2CCH2COOH,Nd+++,calibration_local
4054,C5H6O4_2,MethylenesuccinicacidHOOCCH2CCH2COOH,Nd+++,calibration_local
4069,C5H6O4_2,MethylenesuccinicacidHOOCCH2CCH2COOH,Nd+++,calibration_local
4082,C5H6O4_2,MethylenesuccinicacidHOOCCH2CCH2COOH,Nd+++,test
4095,C5H6O4_3,2Methyl2butenedioicacid,Nd+++,train
4100,C5H7NO4,2AcrylamidoglycolicacidCH2CHCONHCHOHCOOH,Nd+++,train
4119,C5H8O2,Pentane24dioneCH3COCH2COCH3,Nd+++,train
4131,C5H8O4_1,EthylpropanedioicacidHOOCCHC2H5COOH,Nd+++,train
4143,C5H8O4_2,MethylsuccinicacidHOOCCH2CHCH3COOH,Nd+++,train
4157,C5H8O4_3,PentanedioicacidHOOCCH2CH2CH2COOH,Nd+++,calibration_global
4158,C5H8O4_3,PentanedioicacidHOOCCH2CH2CH2COOH,Nd+++,test
4159,C5H8O4_3,PentanedioicacidHOOCCH2CH2CH2COOH,Nd+++,train
4168,C5H8O4_4,DimethylmalonicacidHOOCCCH32COOH,Nd+++,train
4176,C5H8O7,234TrihydroxypentanedioicacidTrihydroxyglutaricacidHOOCCHOH3COOH,Nd+++,train
4181,C5H9N3O4S,ThiosemicarbazonediethanoicacidH2NCSNHNCH2COOH2,Nd+++,train
4187,C5H9NO2,Pyrrolidine2carboxylicacidC4H8NCOOH,Nd+++,train
4200,C5H9NO3,4Hydroxy2pyrrolidinecarboxylicacidC4H7NOHCOOH,Nd+++,train
4206,C5H9NO4_1,2AminopentanedioicacidH2NCHCH2CH2COOHCOOH,Nd+++,test
4207,C5H9NO4_1,2AminopentanedioicacidH2NCHCH2CH2COOHCOOH,Nd+++,calibration_global
4212,C5H9NO4_1,2AminopentanedioicacidH2NCHCH2CH2COOHCOOH,Nd+++,train
4221,C5H9NO4_2,NMethyliminodiethanoicacidCH3NCH2COOH2,Nd+++,train
4240,C6H10O3,1HydroxycyclopentanecarboxylicacidHOC5H8COOH,Nd+++,train
4252,C6H10O4,16HexanedioicacidHOOCCH24COOH,Nd+++,train
4272,C6H10O6,12BiscarboxymethoxyethaneHOOCCH2OCH2CH2OCH2COOH,Nd+++,train
4273,C6H10O6,12BiscarboxymethoxyethaneHOOCCH2OCH2CH2OCH2COOH,Nd+++,test
4290,C6H10O8,D2345Tetrahydroxy16hexanedioicacidGlucaricacidHOOCCHOH4COOH,Nd+++,train
4297,C6H11N3O4,GlycylglycylglycineH2NCH2CONHCH2CONHCH2COOH,Nd+++,train
4302,C6H11NO5,N2HydroxyethyliminodiethanoicacidHOCH2CH2NCH2COOH2,Nd+++,calibration_global
4303,C6H11NO5,N2HydroxyethyliminodiethanoicacidHOCH2CH2NCH2COOH2,Nd+++,calibration_local
4320,C6H11NO5,N2HydroxyethyliminodiethanoicacidHOCH2CH2NCH2COOH2,Nd+++,calibration_local
4321,C6H11NO5,N2HydroxyethyliminodiethanoicacidHOCH2CH2NCH2COOH2,Nd+++,test
4338,C6H11NO5,N2HydroxyethyliminodiethanoicacidHOCH2CH2NCH2COOH2,Nd+++,train
4347,C6H12N2O4,12DiaminoethaneNNdiethanoicacidHOOCCH2NHCH2CH2NHCH2COOH,Nd+++,train
4349,C6H12N2O4,12DiaminoethaneNNdiethanoicacidHOOCCH2NHCH2CH2NHCH2COOH,Nd+++,calibration_global
4358,C6H12N2O4,12DiaminoethaneNNdiethanoicacidHOOCCH2NHCH2CH2NHCH2COOH,Nd+++,test
4359,C6H12N2O4,12DiaminoethaneNNdiethanoicacidHOOCCH2NHCH2CH2NHCH2COOH,Nd+++,calibration_global
4360,C6H12N2O4,12DiaminoethaneNNdiethanoicacidHOOCCH2NHCH2CH2NHCH2COOH,Nd+++,calibration_local
4371,C6H12N2O4,12DiaminoethaneNNdiethanoicacidHOOCCH2NHCH2CH2NHCH2COOH,Nd+++,calibration_local
4380,C6H12O2,HexanoicacidCH3CH24COOH,Nd+++,train
4384,C6H12O3_1,2Hydroxy2methylpentanoicacidMethylpropylglycolicacid,Nd+++,test
4385,C6H12O3_1,2Hydroxy2methylpentanoicacidMethylpropylglycolicacid,Nd+++,train
4392,C6H12O3_2,2Ethyl2hydroxybutanoicacidC2H52COHCOOH,Nd+++,train
4399,C6H12O3_3,2Hydroxy23dimethylbutanoicacidCH3CHCH3COHCH3COOH,Nd+++,train
4410,C6H12O4,23Dihydroxy23dimethylbutanoicacidCH32COHCOHCH3COOH,Nd+++,train
4420,C6H12O7_1,DGluconicacid23456PentahydroxyhexanoicacidHOCH2CHOH4COOH,Nd+++,train
4421,C6H12O7_1,DGluconicacid23456PentahydroxyhexanoicacidHOCH2CHOH4COOH,Nd+++,calibration_global
4434,C6H12O7_1,DGluconicacid23456PentahydroxyhexanoicacidHOCH2CHOH4COOH,Nd+++,test
4447,C6H13N3O3,2Amino5ureidovalericacidH2NCONHCH2CH2CH2CHNH2COOH,Nd+++,train
4464,C6H13NO2_1,2Aminohexanoicacid2AminocaproicacidCH3CH23CHNH2COOH,Nd+++,train
4468,C6H13NO2_1,2Aminohexanoicacid2AminocaproicacidCH3CH23CHNH2COOH,Nd+++,test
4481,C6H13NO2_3,2Amino4methylpentanoicacidH2NCHCH2CHCH32COOH,Nd+++,test
4482,C6H13NO2_3,2Amino4methylpentanoicacidH2NCHCH2CHCH32COOH,Nd+++,train
4483,C6H13NO2_3,2Amino4methylpentanoicacidH2NCHCH2CHCH32COOH,Nd+++,calibration_local
4497,C6H13NO2_3,2Amino4methylpentanoicacidH2NCHCH2CHCH32COOH,Nd+++,calibration_local
4501,C6H13NO2_3,2Amino4methylpentanoicacidH2NCHCH2CHCH32COOH,Nd+++,calibration_global
4506,C6H13NO2_4,2Amino3methylpentanoicacidCH3CH2CHCH3CHNH2COOH,Nd+++,train
4510,C6H13NO2_4,2Amino3methylpentanoicacidCH3CH2CHCH3CHNH2COOH,Nd+++,test
4515,C6H13NO4,NNBis2hydroxyethylglycineHOCH2CH22NCH2COOH,Nd+++,test
4536,C6H13NO4,NNBis2hydroxyethylglycineHOCH2CH22NCH2COOH,Nd+++,calibration_global
4549,C6H13NO4,NNBis2hydroxyethylglycineHOCH2CH22NCH2COOH,Nd+++,train
4561,C6H14N2O2,26DiaminohexanoicacidH2NCH24CHNH2COOH,Nd+++,train
4569,C6H20N2O12P4,Ethane12bisiminobismethylenephosphonicacidH2O3PCH22NCH22,Nd+++,train
4598,C6H5NO2_1,2PyridinecarboxylicacidC5H4NCOOH,Nd+++,calibration_local
4599,C6H5NO2_1,2PyridinecarboxylicacidC5H4NCOOH,Nd+++,train
4600,C6H5NO2_1,2PyridinecarboxylicacidC5H4NCOOH,Nd+++,calibration_global
4631,C6H5NO2_1,2PyridinecarboxylicacidC5H4NCOOH,Nd+++,test
4632,C6H5NO2_1,2PyridinecarboxylicacidC5H4NCOOH,Nd+++,calibration_local
4633,C6H5NO2_1,2PyridinecarboxylicacidC5H4NCOOH,Nd+++,calibration_local
4653,C6H5NO2_2,3PyridinecarboxylicacidC5H4NCOOH,Nd+++,train
4669,C6H5NO3_3,Pyridine2carboxylicacidNoxidePicolinicacidNoxideC5H4NOCOO,Nd+++,train
4681,C6H5NO4_1,24Dihydroxy1nitrobenzeneO2NC6H3OH2,Nd+++,train
4693,C6H5NO4_2,12Dihydroxy4nitrobenzeneO2NC6H3OH2,Nd+++,train
4704,C6H5O4Br,6Bromo5hydroxy2hydroxymethyl4Hpyran4one,Nd+++,train
4717,C6H5O4I,6Iodo5hydroxy2hydroxymethyl4Hpyran4one,Nd+++,train
4737,C6H6O2_1,12DihydroxybenzenepyrocatecholHOC6H4OH,Nd+++,calibration_global
4738,C6H6O2_1,12DihydroxybenzenepyrocatecholHOC6H4OH,Nd+++,calibration_global
4739,C6H6O2_1,12DihydroxybenzenepyrocatecholHOC6H4OH,Nd+++,calibration_local
4740,C6H6O2_1,12DihydroxybenzenepyrocatecholHOC6H4OH,Nd+++,test
4741,C6H6O2_1,12DihydroxybenzenepyrocatecholHOC6H4OH,Nd+++,calibration_local
4742,C6H6O2_1,12DihydroxybenzenepyrocatecholHOC6H4OH,Nd+++,calibration_local
4768,C6H6O2_1,12DihydroxybenzenepyrocatecholHOC6H4OH,Nd+++,train
4777,C6H6O2_1,12DihydroxybenzenepyrocatecholHOC6H4OH,Nd+++,calibration_global
4785,C6H6O2_2,13DihydroxybenzeneHOC6H4OH,Nd+++,calibration_global
4786,C6H6O2_2,13DihydroxybenzeneHOC6H4OH,Nd+++,test
4787,C6H6O2_2,13DihydroxybenzeneHOC6H4OH,Nd+++,train
4800,C6H6O3_2,123TrihydroxybenzeneC6H3OH3,Nd+++,train
4801,C6H6O3_2,123TrihydroxybenzeneC6H3OH3,Nd+++,test
4812,C6H6O3_3,135TrihydroxybenzeneC6H3OH3,Nd+++,calibration_global
4813,C6H6O3_3,135TrihydroxybenzeneC6H3OH3,Nd+++,train
4814,C6H6O3_3,135TrihydroxybenzeneC6H3OH3,Nd+++,test
4827,C6H6O3_4,3Hydroxy2methyl4Hpyran4one,Nd+++,test
4828,C6H6O3_4,3Hydroxy2methyl4Hpyran4one,Nd+++,train
4840,C6H6O4,5Hydroxy2hydroxymethyl4Hpyran4one,Nd+++,test
4853,C6H6O4,5Hydroxy2hydroxymethyl4Hpyran4one,Nd+++,train
4861,C6H6O6,cis123PropenetricarboxylicacidcisAconiticacidHOOCCHCCOOHCH2COOH,Nd+++,train
4878,C6H6O8S2,45Dihydroxybenzene13disulfonicacidHO2C6H2SO3H2,Nd+++,calibration_global
4879,C6H6O8S2,45Dihydroxybenzene13disulfonicacidHO2C6H2SO3H2,Nd+++,train
4897,C6H6O8S2,45Dihydroxybenzene13disulfonicacidHO2C6H2SO3H2,Nd+++,test
4908,C6H7N3O,Pyridine4carboxylicacidhydrazideC5H4NCONHNH2,Nd+++,train
4916,C6H8N2,Phenylhydrazine,Nd+++,train
4925,C6H8O4,2AllylpropanedioicacidHOOCCHCH2CHCH2COOH,Nd+++,train
4944,C6H8O6S,CarboxymethylthiobutanedioicacidHOOCCHSCH2COOHCH2COOH,Nd+++,train
4945,C6H8O6S,CarboxymethylthiobutanedioicacidHOOCCHSCH2COOHCH2COOH,Nd+++,calibration_global
4950,C6H8O6S,CarboxymethylthiobutanedioicacidHOOCCHSCH2COOHCH2COOH,Nd+++,test
4960,C6H8O7_1,2Hydroxypropane123tricarboxylicacidHOOCCH2CHOHCOOHCH2COOH,Nd+++,train
4976,C6H8O7_2,CarboxymethoxysuccinicacidHOOCCH2OCHCOOHCH2COOH,Nd+++,train
4986,C6H9N3O2,2Amino34imidazolylpropanoicacidH2NCHCH2C3H3N2COOH,Nd+++,train
4987,C6H9N3O2,2Amino34imidazolylpropanoicacidH2NCHCH2C3H3N2COOH,Nd+++,test
5013,C6H9NO6,NitrilotriethanoicacidNCH2COOH3,Nd+++,calibration_local
5014,C6H9NO6,NitrilotriethanoicacidNCH2COOH3,Nd+++,calibration_local
5028,C6H9NO6,NitrilotriethanoicacidNCH2COOH3,Nd+++,calibration_local
5029,C6H9NO6,NitrilotriethanoicacidNCH2COOH3,Nd+++,calibration_local
5053,C6H9NO6,NitrilotriethanoicacidNCH2COOH3,Nd+++,test
5054,C6H9NO6,NitrilotriethanoicacidNCH2COOH3,Nd+++,train
5055,C6H9NO6,NitrilotriethanoicacidNCH2COOH3,Nd+++,calibration_local
5056,C6H9NO6,NitrilotriethanoicacidNCH2COOH3,Nd+++,calibration_global
5072,C6H9NO6,NitrilotriethanoicacidNCH2COOH3,Nd+++,calibration_global
5090,C7H11NO4,Piperidine26dicarboxylicacidC5H9NCOOH2,Nd+++,train
5101,C7H11NO6_1,Nitrilo2propanoicdiethanoicacidHOOCCHCH3NCH2COOH2,Nd+++,train
5113,C7H11NO6_2,2AminobutanoicNpropane13dioicacidHOOCCHC2H5NHCHCOOH2,Nd+++,train
5121,C7H12N2O3_1,ProlylglycineC4H8NCONHCH2COOH,Nd+++,train
5130,C7H12N2O3_2,GlycylprolineH2NCH2CONC4H7COOH,Nd+++,train
5142,C7H12O3,2HydroxycyclohexanecarboxylicacidHOC6H10COOH,Nd+++,train
5154,C7H12O4,DiethylpropanedioicacidDiethylmalonicacidHOOCCC2H52COOH,Nd+++,train
5174,C7H12O6,1345Tetrahydroxycyclohexane1carboxylicacid,Nd+++,train
5179,C7H13NO5_1,4Hydroxy2aminopentane15dioicacid,Nd+++,train
5189,C7H13NO6,N23DihydroxypropyliminodiethanoicacidHOCH2CHOHCH2NCH2COOH2,Nd+++,train
5195,C7H14N2O3,GlycylvalineH2NCH2CONHCHCHCH32COOH,Nd+++,train
5201,C7H14N2O3S,GlycylmethionineH2NCH2CONHCHCH2CH2SCH3COOH,Nd+++,train
5208,C7H14O3_1,2Hydroxy24dimethylpentanoicacidCH32CHCH2CCH3OHCOOH,Nd+++,train
5232,C7H15NO4,NNBis2hydroxyethylalanineHOCH2CH22NCHCH3COOH,Nd+++,train
5242,C7H4N2O7,35DinitrosalicylicacidO2N2C6H2OHCOOH,Nd+++,test
5247,C7H4N2O7,35DinitrosalicylicacidO2N2C6H2OHCOOH,Nd+++,train
5261,C7H5NO4_2,3NitrobenzoicacidO2NC6H4COOH,Nd+++,train
5272,C7H5NO4_3,4NitrobenzoicacidO2NC6H4COOH,Nd+++,train
5283,C7H5O2F_1,3FluorobenzoicacidFC6H4COOH,Nd+++,train
5295,C7H5O2F_2,4FluorobenzoicacidFC6H4COOH,Nd+++,train
5308,C7H6O2_1,BenzenecarboxylicacidC6H5COOH,Nd+++,train
5323,C7H6O2_2,2Hydroxycyclohepta246trien1one,Nd+++,train
5329,C7H6O3_1,2HydroxybenzoicacidSalicylicacidHOC6H4COOH,Nd+++,train
5333,C7H6O3_1,2HydroxybenzoicacidSalicylicacidHOC6H4COOH,Nd+++,test
5340,C7H6O3_1,2HydroxybenzoicacidSalicylicacidHOC6H4COOH,Nd+++,calibration_global
5349,C7H6O3_2,4HydroxybenzoicacidHOC6H4COOH,Nd+++,train
